"GEO_ID","state","Amount"
"13205","Georgia",83383.2964705882
"13207","Georgia",11905.4566666667
"13209","Georgia",5320.97
"13211","Georgia",9509.55384615385
"13215","Georgia",105279.5825
"13217","Georgia",31500.2053846154
"13219","Georgia",10160.03
"13221","Georgia",6314.5625
"13225","Georgia",75145.58625
"13227","Georgia",46001.45
"13229","Georgia",32443.8805
"13235","Georgia",30403.4471428571
"13237","Georgia",29877.096
"13239","Georgia",10389.772
"13241","Georgia",9986.66416666667
"13243","Georgia",22368.6186363636
"13245","Georgia",97981.428
"13247","Georgia",23959.716
"13249","Georgia",5208.392
"13251","Georgia",33407.9172727273
"13253","Georgia",1705325.73923077
"13255","Georgia",41152.5166666667
"13257","Georgia",24520.032
"13259","Georgia",12095.9235714286
"13261","Georgia",75631.6693333333
"13263","Georgia",5020.21
"13265","Georgia",4612.5
"13267","Georgia",31156.193
"13269","Georgia",14596.598
"13271","Georgia",13403.5033333333
"13273","Georgia",20420.8047058824
"13275","Georgia",199777.639166667
"13277","Georgia",28242.5572
"13279","Georgia",27723.2866666667
"13283","Georgia",12958.2881818182
"13285","Georgia",15557.808
"13287","Georgia",39864.449375
"13289","Georgia",17401.0555555556
"13291","Georgia",5617.5575
"13293","Georgia",19067.4142857143
"13295","Georgia",9479.656
"13297","Georgia",26059.9814285714
"13299","Georgia",22608.12
"13301","Georgia",8076.19375
"13303","Georgia",19017.1452631579
"13305","Georgia",51989.1048
"13307","Georgia",7527.78
"13309","Georgia",10728.61
"13311","Georgia",19325.2722222222
"13315","Georgia",7267.897
"13317","Georgia",66242.8581818182
"13319","Georgia",6420.11
"13321","Georgia",34950.5415384615
"15001","Hawaii",347209.628064516
"15007","Hawaii",98677.8005
"15009","Hawaii",197780.468571429
"22001","Louisiana",3025.6425
"22003","Louisiana",19823.31
"22005","Louisiana",86650.8247368421
"22007","Louisiana",12799.822
"22009","Louisiana",10589.4571428571
"22011","Louisiana",15748.8433333333
"22015","Louisiana",9142.41
"22019","Louisiana",81516.3471428571
"22021","Louisiana",19808.36
"22023","Louisiana",27683.715
"22025","Louisiana",2204.17333333333
"22029","Louisiana",6968.255
"22031","Louisiana",10485.855
"22033","Louisiana",193350.568
"22037","Louisiana",18352.8115384615
"22039","Louisiana",13783.888
"22041","Louisiana",10015.4633333333
"22045","Louisiana",14353.8433333333
"22047","Louisiana",85286.3784615385
"22049","Louisiana",1016.78
"22051","Louisiana",163667.753523316
"22053","Louisiana",7141.52
"22055","Louisiana",39524.8069230769
"22057","Louisiana",114232.890714286
"22059","Louisiana",10855.16
"22061","Louisiana",4143.202
"22063","Louisiana",56262.106
"22067","Louisiana",18154.035
"22069","Louisiana",8993.20181818182
"22071","Louisiana",257999.22896
"22073","Louisiana",65941.6228571429
"22075","Louisiana",1066081.2715873
"22077","Louisiana",27134.4608333333
"22079","Louisiana",61465.135
"22083","Louisiana",3190.63
"22085","Louisiana",20603.7157142857
"22087","Louisiana",79528.0636956522
"22089","Louisiana",169432.950333333
"22091","Louisiana",16427.2772727273
"22093","Louisiana",29699.9513333333
"22095","Louisiana",838868.809491525
"22097","Louisiana",10644.1810526316
"22099","Louisiana",21819.546
"22101","Louisiana",37817.1745454545
"22103","Louisiana",85317.9112359551
"22105","Louisiana",34806.0281481482
"22109","Louisiana",68205.44
"22111","Louisiana",1508.83
"22113","Louisiana",33205.5507692308
"22115","Louisiana",11790.915
"22117","Louisiana",24732.6643478261
"22121","Louisiana",30043.1814285714
"22125","Louisiana",14001.35125
"23007","Maine",9325.38888888889
"23015","Maine",2095.65823529412
"23017","Maine",12644.88
"23031","Maine",6001.98553571429
